session,plane,depth (um),pt_supervoxel_id,nwb_x,nwb_y,nwb_z,visual_area,layer,classification_system,cell_type
ses-4-scan-7,4,220,106899606163708416,306560.0,131616.0,18632.0,RL,L4,excitatory_neuron,23P
ses-4-scan-7,4,220,108095531351623680,315184.0,128928.0,19729.0,RL,L4,,
ses-4-scan-7,4,220,107532444026414304,310944.0,127920.0,20265.0,RL,L4,,
ses-4-scan-7,4,220,107532031843953760,310976.0,124752.0,21479.0,RL,L4,,
ses-4-scan-7,4,220,105210068639029536,294112.0,126160.0,15202.0,RL,L4,,
ses-4-scan-7,4,220,106266287466022224,301906.0,131685.0,18557.0,RL,L4,,
ses-4-scan-7,4,220,105984606465057056,299968.0,129952.0,19547.0,RL,L4,excitatory_neuron,23P
ses-4-scan-7,4,220,106899194048494352,306444.0,128306.0,20448.0,RL,L4,,
ses-4-scan-7,4,220,106688431480411056,304734.0,130776.0,20932.0,RL,L4,,
ses-4-scan-7,4,220,106617375675475136,304624.0,126128.0,21769.0,RL,L4,,
ses-4-scan-7,4,220,107390745069218224,310272.0,120896.0,24755.0,RL,L4,,
ses-4-scan-7,4,220,106617307627124336,304618.0,125424.0,26910.0,RL,L4,,
ses-4-scan-7,4,220,104647600057561648,290320.0,130144.0,17797.0,RL,L4,,
ses-4-scan-7,4,220,104788337746989536,290983.0,130170.0,19080.0,RL,L4,,
ses-4-scan-7,4,220,105983988191204704,299900.0,125620.0,21168.0,RL,L4,,
ses-4-scan-7,4,220,105632282043562672,297184.0,126160.0,22275.0,RL,L4,,
ses-4-scan-7,4,220,106265120040585184,301760.0,122688.0,25029.0,RL,L4,,
ses-4-scan-7,4,220,102677274884948544,275989.0,130172.0,15181.0,RL,L4,,
ses-4-scan-7,4,220,103240293893023040,279622.0,130391.0,17410.0,RL,L4,,
ses-4-scan-7,4,220,103169512899437360,279338.0,127541.0,18179.0,RL,L4,,
ses-4-scan-7,4,220,104014556439124160,285360.0,132143.0,19233.0,RL,L4,,
ses-4-scan-7,4,220,104787582504164464,291136.0,124448.0,24544.0,RL,L4,,
